Player_Name,Team,Position,Games_Played,Minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,three_points,three_points_attempted,Three_points_percentage,Free_throw,Free_throw_attempt,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Total_rebounds,Assists,Steals,Turnovers,Blocks,Personal_fouls,PTS,Playmaking,Shooting,Offense,All_Around,Defense
A.J. Price,WAS,PG,58,22.4,2.8,7.2,39,1.2,3.5,34.8,0.8,1.1,79,0.4,1.7,2.1,3.6,0.6,1.1,0.1,1.3,7.7,5.803571429,0.500941366,0.869649805,8.913793103,2.4
Aaron Brooks,SAC,PG,46,20.9,3,6.6,45.9,1,2.8,37.8,0.9,1.1,76.9,0.3,1.4,1.7,2.3,0.6,1.4,0.2,1.9,8,0.637958533,0.563656415,0.93519695,8,2.2
Aaron Gray,TOR,C,42,12,1.1,2.1,52.9,0,0,0,0.5,1,54.8,1.1,2,3.1,0.8,0.2,0.9,0.1,1.9,2.7,-3.055555556,0.530616078,0.768707483,5.476190476,2.3
Al Harrington,ORL,PF,10,11.8,2,5.7,35.1,0.8,3,26.7,0.3,0.4,75,0.6,2.1,2.7,1,0.4,0.7,0.1,1.8,5.1,-0.282485876,0.433968686,0.772727273,5,2.6
Al Horford,ATL,C,73,37.2,7.8,14.3,54.6,0,0.1,50,1.8,2.8,64.1,2.6,7.6,10.2,3.2,1.1,1.9,1,2.2,17.4,0.627240143,0.560083263,0.988326848,25.49315068,9.7
Al Jefferson,UTH,C,77,33.1,7.8,15.9,49.3,0,0.2,11.8,2.2,2.8,77,2,7.3,9.3,2.1,1,1.4,1.1,2.2,17.9,0,0.522349588,0.956944444,22.49350649,9.4
Al.Farouq Aminu,NOR,SF,74,27,2.9,6.2,47.7,0.1,0.2,22.2,1.4,1.8,74.1,1.8,5.9,7.6,1.3,1.2,1.5,0.7,2,7.3,-2.345679012,0.521718967,0.848389631,13.7027027,7.8
Alan Anderson,TOR,SG,65,23.2,3.7,9.6,38.8,1.5,4.4,33.6,2,2.3,85.8,0.5,1.8,2.3,1.6,0.7,1.2,0.1,2,10.8,-0.574712644,0.508695652,0.903474903,8.723076923,2.6
Alec Burks,UTH,PG,63,17.8,2.6,6.1,41.8,0.5,1.4,35.2,1.5,2,71.3,0.6,1.7,2.3,1.4,0.6,1.1,0.2,1.8,7.1,-0.936329588,0.508601857,0.86627907,7.507936508,2.5
Alexey Shved,MIN,PG,77,23.8,3,8.2,37.2,1.1,3.7,29.7,1.4,2,72.2,0.5,1.7,2.2,3.7,0.7,1.9,0.3,1.5,8.6,2.380952381,0.473696262,0.775175644,9,2.7
Alonzo Gee,CLE,SF,81,30.9,3.7,9,40.9,0.9,2.7,31.8,2,2.5,79.5,0.9,2.9,3.8,1.6,1.3,1.6,0.3,2.4,10.2,-1.725997843,0.504692541,0.859968766,10.80246914,4.5
Amar'e Stoudemire,NYK,PF,29,23.6,5.3,9.2,57.7,0,0,0,3.6,4.5,80.8,2.1,2.9,5,0.4,0.3,1.7,0.7,3.1,14.2,-6.073446328,0.634549039,1.079947575,15.93103448,3.9
Amir Johnson,TOR,PF,81,28.8,4.1,7.5,55.1,0.1,0.2,38.5,1.7,2.3,73,2.8,4.7,7.5,1.5,1,1.5,1.4,3.7,10,-1.736111111,0.587092659,0.984204131,17.11111111,7.1
Anderson Varejao,CLE,C,25,36,5.5,11.6,47.8,0,0.2,0,3.1,4.1,75.5,5.5,8.9,14.4,3.4,1.5,1.8,0.6,2.7,14.1,1.296296296,0.526362877,0.913324709,27.12,11
Andray Blatche,BKN,C,83,19,4.3,8.3,51.2,0,0.3,13.6,1.8,2.7,68.2,2,3.1,5.1,1,1,1.5,0.7,2,10.3,-4.385964912,0.542815785,0.923326134,13.4939759,4.8
Andre Drummond,DET,C,61,20.9,3.5,5.7,61.1,0,0,50,1,2.6,37.3,2.8,4.9,7.7,0.5,1,1,1.6,2.4,8,-3.189792663,0.583787922,0.998976459,17.2295082,7.5
Andre Iguodala,DEN,SG,81,34.8,5,11,45.2,1.1,3.6,31.7,1.9,3.4,57.5,1,4.3,5.3,5.5,1.7,2.6,0.6,1.6,13,3.0651341,0.520256917,0.849536103,19.01234568,6.6
Andre Miller,DEN,PG,83,26.3,3.7,7.7,47.9,0.2,0.8,27.3,2,2.4,83.5,0.7,2.2,2.9,6,0.9,2.1,0.1,1.9,9.6,7.224334601,0.548475006,0.873424658,13.80722892,3.2
Andrea Bargnani,TOR,PF,35,28.7,4.9,12.1,40,1.1,3.5,31.1,1.9,2.2,84.4,0.7,2.9,3.7,1.1,0.6,1.5,0.7,1.8,12.7,-2.671312427,0.48593518,0.863239573,10.45714286,4.2
Andrei Kirilenko,MIN,SF,64,32,4.4,8.8,50,0.5,1.9,29.4,3,3.9,76.2,1.6,4,5.7,2.8,1.6,1.9,1,1.3,12.3,-0.104166667,0.584695394,0.971604938,17.984375,6.6
Andrew Bogut,GSW,C,31,24.7,2.6,5.8,44.7,0,0,100,0.6,1.2,50,2.1,5.6,7.7,2.2,0.6,1.1,1.8,2.7,5.8,1.484480432,0.458528633,0.774193548,14.4516129,8
